PROY0001_01;España;Saldos y movimientos;Implementado con OK;ISM;No los he tratado yo;;;;10000000001;;;;;01/01/2012;;;;;;;
PROY0001_01;España;Saldos y movimientos;Implementado con OK;MVD;No los he tratado yo;;;;10000000001;;;;;01/01/2012;;;;;;;
PROY0001_01;España;Nóminas en fichero 34.1;Implementado con OK;NO1;Faltan Penny Test de la nueva filial;;AEB 34.1;;10000000001;;;;;01/01/2012;;;;;;;
PROY0001_01;España;Nóminas;Implementado con OK;NOM;No los he tratado yo;;AEB 34.1;;10000000001;;;;;01/01/2012;;;;;;;
PROY0001_01;España;Transferencias en fichero 34.1;Implementado con OK;TR1;Faltan Penny Test de la nueva filial;;AEB 34.1;;10000000001;;;;;01/01/2012;;;;;;;
PROY0001_01;España;Transferencias domésticas;Implementado con OK;TRA;;;AEB 34;;10000000001;30/01/2012;23/03/2012;;;29/05/2012;21/06/2012;22/06/2012;;;;;
PROY0001_01;España;Transferencias internacionales;Implementado con OK;TIN;No los he tratado yo;;TIN Propietario;;10000000001;;;;;01/01/2012;;;;;;;
PROY0001_02;España;Transferencias EUR (FIT);Implementado con OK;FIT;Se estan probando en integrado de nuevo con otras filiales.;;;;;23/05/2013;;;;10/08/2013;13/09/2013;23/12/2013;23/12/2013;09/09/2013;20/09/2013;;
PROY0001_02;España;Transferencias internacionales;Implementado con OK;TIN;;;;;;23/05/2013;10/12/2013;;;14/12/2013;19/12/2013;23/12/2013;23/12/2013;;;;
PROY0001_02;España;Nóminas (FIM);Implementado con OK;FIM;;;;;;22/10/2013;14/11/2013;;;23/11/2013;04/12/2013;05/12/2013;05/12/2013;;;;
PROY0002_01;España;Transferencia sepa 34.12;Implementado con OK;TRS;"Fecha ""supuesta de implantación"". Desarrollo anterior a 2011 y no tenemos información de la fecha de implantación.";XML V.3;AEB 34.12;;10000000013;;;;;08/01/2010;;;;;;;
PROY0003_01;España;Cheques;Implementado con OK;CHE;Activo desde el 24/01/2012;;AEB 34;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Pagos certificados;Implementado con OK;CPG;Activo desde el 24/01/2012;;CPG Propietario;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Pagos domiciliados;Implementado con OK;CPN;Activo desde el 24/01/2012;;AEB 68;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Anticipos de crédito;Implementado con OK;CRE;Activo desde el 24/01/2012;;AEB 58;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Devoluciones de anticipo crédito vía fichero;Implementado con OK;DVA;Activo desde el 24/01/2012;;AEB 58;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Saldos y movimientos;Implementado con OK;ISM;Activo desde el 24/01/2012;;;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Saldos y movimientos;Implementado con OK;MVD;Activo desde el 24/01/2012;;;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Nóminas en fichero 34.1;Implementado con OK;NO1;Activo desde el 24/01/2012;;AEB 34.1;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Nóminas;Implementado con OK;NOM;Activo desde el 24/01/2012;;AEB 34;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Transferencias urgentes (OMF);Implementado con OK;OMF;Activo desde el 24/01/2012;;AEB 34;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Transferencias internacionales;Implementado con OK;TIN;Activo desde el 24/01/2012;;TIN Propietario;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Transferencias en fichero 34.1;Implementado con OK;TR1;Activo desde el 24/01/2012;;AEB 34.1;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;España;Transferencias domésticas;Implementado con OK;TRA;Activo desde el 24/01/2012;;AEB 34;;10000000040;;;;;24/01/2012;;;;;;;
PROY0003_01;Francia;Saldos y movimientos- ETEBAC;Implementado con OK;ETE;Activo desde el 24/01/2012;;;;10000000040;;;;;24/01/2012;;;;;;;
PROY0005_01;España;Saldos y movimientos;Implementado con OK;MT940;No hay desarrollos, se reconfigura con la nueva caracteristisca de agrupacion de la interfaz;;;;;;;;;10/08/2012;;;;;;;
PROY0005_01;Portugal;Saldos y movimientos;Implementado con OK;MT940;;;;;;;;;;10/08/2012;;;;;;;
PROY0006_01;Argentina;Pago a proveedores;Implementado sin OK;PAP;;;;;;;;;;;;;;;;;
PROY0006_02;USA;Saldos y Movimientos;Excluido por Timeout;MT940;;;;;;;;;;;;;;;;;
PROY0006_03;Perú;Pago a Proveedores;Excluido por Timeout;M03;;;;;;;;;;;;;;;;;
PROY0006_03;Perú;Factoring;Excluido por Timeout;M08;;;;;;;;;;;;;;;;;
PROY0006_03;Perú;Saldos y Movimientos;Excluido por Timeout;MT940;;;;;;;;;;;;;;;;;
PROY0006_04;Perú;Pago a Proveedores;Excluido por Timeout;M03;;;;;;;;;;;;;;;;;
PROY0006_04;Perú;Respuestas dedicadas;Excluido por Timeout;XXX;;;;;;;;;;;;;;;;;
